"subregion","long","lat","group","order"
"North Island",175.551956176758,-37.0464859008789,1110,69960
"North Island",175.4931640625,-36.86572265625,1110,69961
"North Island",175.492874145508,-36.8069343566895,1110,69962
"North Island",175.501266479492,-36.748046875,1110,69963
"North Island",175.487411499023,-36.6895484924316,1110,69964
"North Island",175.4580078125,-36.63427734375,1110,69965
"North Island",175.426376342773,-36.5918960571289,1110,69966
"North Island",175.385543823242,-36.5563468933105,1110,69967
"North Island",175.399810791016,-36.5007820129395,1110,69968
"North Island",175.460845947266,-36.4756813049316,1110,69969
"North Island",175.497650146484,-36.5226554870605,1110,69970
"North Island",175.528030395508,-36.5792961120605,1110,69971
"North Island",175.681442260742,-36.7469711303711,1110,69972
"North Island",175.772171020508,-36.7351531982422,1110,69973
"North Island",175.780670166016,-36.8045921325684,1110,69974
"North Island",175.842178344727,-36.8750991821289,1110,69975
"North Island",175.876174926758,-36.9577178955078,1110,69976
"North Island",175.921096801758,-37.20458984375,1110,69977
"North Island",175.990142822266,-37.43701171875,1110,69978
"North Island",176.114562988281,-37.5382843017578,1110,69979
"North Island",176.129013061523,-37.5867195129395,1110,69980
"North Island",176.053314208984,-37.5617179870605,1110,69981
"North Island",176.029891967773,-37.5762672424316,1110,69982
"North Island",176.037887573242,-37.6006813049316,1110,69983
"North Island",176.1083984375,-37.6451187133789,1110,69984
"North Island",176.191116333008,-37.6669921875,1110,69985
"North Island",176.2431640625,-37.6638641357422,1110,69986
"North Island",176.291702270508,-37.6800765991211,1110,69987
"North Island",176.61474609375,-37.8309555053711,1110,69988
"North Island",176.77001953125,-37.8896484375,1110,69989
"North Island",177.161819458008,-37.9857406616211,1110,69990
"North Island",177.274017333984,-37.9934577941895,1110,69991
"North Island",177.3359375,-37.9908218383789,1110,69992
"North Island",177.453308105469,-37.9574203491211,1110,69993
"North Island",177.558288574219,-37.8974609375,1110,69994
"North Island",177.64892578125,-37.8078117370605,1110,69995
"North Island",177.727340698242,-37.70556640625,1110,69996
"North Island",177.812698364258,-37.6559562683105,1110,69997
"North Island",177.909469604492,-37.6168937683105,1110,69998
"North Island",177.9580078125,-37.5806655883789,1110,69999
"North Island",178.009185791016,-37.5548820495605,1110,70000
"North Island",178.272171020508,-37.56689453125,1110,70001
"North Island",178.360748291016,-37.6184539794922,1110,70002
"North Island",178.475967407227,-37.6597633361816,1110,70003
"North Island",178.536224365234,-37.6920890808105,1110,70004
"North Island",178.516006469727,-37.7576179504395,1110,70005
"North Island",178.447067260742,-37.8543930053711,1110,70006
"North Island",178.393936157227,-37.9602546691895,1110,70007
"North Island",178.347259521484,-38.2008781433105,1110,70008
"North Island",178.3154296875,-38.4440460205078,1110,70009
"North Island",178.267684936523,-38.5511741638184,1110,70010
"North Island",178.1806640625,-38.6336898803711,1110,70011
"North Island",178.084854125977,-38.6939468383789,1110,70012
"North Island",177.976165771484,-38.7222633361816,1110,70013
"North Island",177.93212890625,-38.8602561950684,1110,70014
"North Island",177.910354614258,-39.0217742919922,1110,70015
