Mar.Stat,Educgrp,Gender,Agegrp,Ethnicty,SES,PersIncm,FamIncm,Y1,Newspaper,Magazines,sqrtY3,lnMags1,AnyPaper,AvidReader
1,3,2,13,2,3,4,5,1,0,7,2.645751311,2.079441542,0,0
1,7,1,15,2,3,8,7,5,6,5,2.236067977,1.791759469,1,0
1,6,1,17,2,3,2,2,7,6,5,2.236067977,1.791759469,1,0
3,2,2,20,1,7,1,1,6,3,5,2.236067977,1.791759469,1,0
3,2,2,13,2,7,2,1,5,0,6,2.449489743,1.945910149,0,0
2,2,2,12,5,7,1,1,6,0,10,3.16227766,2.397895273,0,0
3,8,2,20,2,2,1,1,4,0,8,2.828427125,2.197224577,0,0
2,2,2,5,3,6,1,2,,6,13,3.605551275,2.63905733,1,0
3,2,1,18,2,2,3,2,3,3,3,1.732050808,1.386294361,1,0
2,2,2,10,2,7,2,1,2,0,7,2.645751311,2.079441542,0,0
2,1,1,2,2,2,1,5,,1,10,3.16227766,2.397895273,1,0
2,1,1,6,3,7,1,2,6,0,1,1,0.693147181,0,0
3,2,2,18,2,6,1,1,3,6,11,3.31662479,2.48490665,1,0
1,2,2,11,3,6,1,2,2,1,2,1.414213562,1.098612289,1,0
3,6,2,20,2,3,2,1,5,7,13,3.605551275,2.63905733,1,0
1,3,2,13,2,3,1,3,4,6,1,1,0.693147181,1,0
2,1,2,3,3,3,1,2,,6,3,1.732050808,1.386294361,1,0
3,3,2,14,2,7,1,1,5,1,8,2.828427125,2.197224577,1,0
2,2,1,5,2,7,2,1,,6,6,2.449489743,1.945910149,1,0
2,1,2,1,2,3,3,4,,0,6,2.449489743,1.945910149,0,0
3,3,1,20,2,5,1,1,3,7,2,1.414213562,1.098612289,1,0
3,2,2,20,2,7,2,1,3,12,3,1.732050808,1.386294361,1,1
2,2,1,8,2,2,1,2,6,2,6,2.449489743,1.945910149,1,0
2,2,2,12,3,7,2,1,6,2,3,1.732050808,1.386294361,1,0
1,7,2,15,2,1,5,6,1,2,1,1,0.693147181,1,0
3,2,2,12,3,7,2,1,4,1,2,1.414213562,1.098612289,1,0
1,3,2,12,8,7,1,1,4,0,5,2.236067977,1.791759469,0,0
2,2,2,12,1,7,2,1,3,5,4,2,1.609437912,1,0
1,6,2,12,2,3,1,3,4,1,1,1,0.693147181,1,0
2,1,1,2,2,3,1,4,,0,1,1,0.693147181,0,0
1,8,1,15,2,3,8,6,7,12,11,3.31662479,2.48490665,1,1
3,2,2,13,2,3,5,5,1,5,5,2.236067977,1.791759469,1,0
1,4,2,12,2,3,1,4,6,2,0,0,0,1,0
2,1,2,2,1,2,1,7,,0,5,2.236067977,1.791759469,0,0
1,3,2,17,2,4,3,4,7,12,9,3,2.302585093,1,1
