ID,FamilyImp,FrndsImp,LesrImp,PoltcImp,WorkImp,RelgnImp,FeelHappy,StateofHlth,SatisfLife,Sex,Age,HighEducLev,SocialClass,Income,SizeTown,VeryHappy,AgeGroup4,MostTrusted,MaritalStatus,HwManyMembershp
2201,1,1,1,2,1,2,1,2,8,2,79,8,2,5,6,1,4,1,2,3
2243,1,1,1,3,2,3,2,2,6,2,65,6,4,2,3,0,4,0,2,3
2244,1,1,1,2,2,3,1,1,8,2,46,7,4,4,3,1,2,1,2,3
2251,1,1,1,3,2,4,1,1,9,2,26,6,4,7,5,1,1,1,2,3
2254,1,1,2,2,2,3,2,1,7,2,41,9,3,7,4,0,2,0,2,3
2285,1,1,1,2,2,2,2,2,8,2,46,7,4,8,4,0,2,1,2,3
2301,1,1,1,3,1,2,1,3,9,1,72,8,2,8,1,1,4,0,2,3
2370,1,2,2,2,1,4,2,1,8,1,49,7,2,9,7,0,2,1,2,3
2371,1,1,1,3,2,4,2,1,7,,,,,5,7,0, ,1,3,3
2393,1,1,1,2,2,2,1,2,10,2,34,9,3,6,5,1,1,0,2,3
2410,1,1,1,4,4,3,2,2,8,2,48,7,2,10,3,0,2,1,2,3
2412,1,1,2,3,2,3,2,3,7,2,36,7,4,8,7,0,2,0,2,3
2422,1,1,2,3,2,3,2,3,7,2,31,7,3,6,5,0,1,0,2,3
2444,1,2,2,3,3,4,2,2,8,2,54,6,5,9,3,0,3,1,2,3
2481,1,1,2,2,2,2,2,1,6,2,43,9,3,7,6,0,2,1,2,3
2522,1,1,2,3,2,3,2,2,4,2,47,9,2,10,7,0,2,1,2,3
2641,1,2,1,3,1,2,3,3,3,1,52,7,4,7,7,0,3,1,2,3
2644,1,2,2,3,2,2,2,2,9,2,42,8,3,8,7,0,2,1,2,3
2662,1,1,3,3,1,3,2,1,7,2,40,7,3,9,7,0,2,0,2,3
2670,1,2,2,3,2,4,2,1,8,1,32,8,3,7,7,0,1,0,2,3
2714,1,2,1,3,1,3,2,2,8,2,37,9,2,8,7,0,2,0,2,3
2715,1,1,2,3,2,3,2,2,9,1,19,8,3,7,7,0,1,0,1,3
2726,1,1,1,2,2,3,1,1,8,2,19,8,2,10,7,1,1,0,1,3
2744,1,1,1,4,2,3,2,1,9,1,60,7,4,9,1,0,3,1,3,3
2824,1,2,1,3,3,3,1,3,7,2,56,8,4,7,2,1,3,1,2,3
2859,1,1,1,3,3,1,3,4,3,2,42,6,4,5,7,0,2,0,2,3
1006,1,1,1,1,1,1,1,3,10,2,60,7,,1,3,1,3,0,2,4
1053,1,2,2,3,3,4,2,3,9,2,56,9,2,9,3,0,3,1,2,4
1074,1,2,3,3,2,2,2,2,6,2,59,8,3,10,7,0,3,0,2,4
1112,1,2,2,3,2,3,2,2,8,1,34,9,2,10,7,0,1,1,2,4
1113,1,1,1,2,2,4,2,2,7,1,29,9,3,8,7,0,1,0,2,4
1148,1,2,1,3,2,3,2,1,7,,,6,2,10,7,0, ,1,2,4
1159,1,2,2,2,2,1,2,2,10,1,29,8,3,10,7,0,1,0,2,4
1176,1,2,3,3,4,3,2,2,8,1,80,7,2,7,7,0,4,1,2,4
1202,1,2,2,4,4,3,2,1,8,2,49,9,3,7,7,0,2,1,2,4
1207,1,1,2,3,2,4,1,1,9,1,26,8,2,10,7,1,1, ,2,4
1218,1,1,2,3,1,4,2,1,9,1,55,6,2,7,7,0,3,0,3,4
1235,1,1,1,2,2,2,2,1,6,2,57,7,2,7,3,0,3,1,3,4
1308,1,3,3,2,1,1,2,3,8,2,67,1,4,9,7,0,4,0,3,4
1366,2,2,2,4,2,3,1,2,9,1,47,7,4,9,3,1,2,0,2,4
1387,1,2,3,4,2,1,1,2,10,1,50,9,2,10,7,1,3,1,2,4
1424,1,1,1,2,3,3,2,2,8,1,19,8,2,8,7,0,1,0,1,4
1455,1,1,1,3,1,2,2,2,,2,68,7,2,3,7,0,4,0,3,4
1464,1,1,2,3,3,3,2,2,6,2,20,9,3,9,6,0,1,1,1,4
1465,1,1,1,3,3,4,1,2,10,2,84,3,, ,7,1,4,1,3,4
1480,1,2,2,2,2,1,1,1,7,1,40,9,3,9,7,1,2,0,2,4
1492,1,2,2,4,4,4,2,3,7,2,46,6,2,9,3,0,2,1,2,4
1548,1,1,1,2,2,1,1,2,8,2,27,8,4,7,7,1,1,0,2,4
1556,1,1,2,3,1,2,1,2,10,2,29,7,4,9,7,1,1,0,2,4
1580,1,2,2,4,1,4,1,2,9,1,55,6,4,7,7,1,3,0,2,4
1598,1,1,3,3,1,3,1,3,7,2,38,9,3,6,7,1,2,0,2,4
1620,1,1,1,3,1,3,2,3,8,2,63,6,4,5,5,0,3,0,2,4
1630,1,1,1,2,2,3,1,1,2,2,45,9,2,8,7,1,2,1,2,4
1638,1,2,3,3,2,4,2,2,7,2,58,6,3,6,7,0,3,0,1,4
1652,1,1,2,3,3,2,2,3,5,2,35,8,3, ,7,0,2,1,2,4
1665,1,2,2,3,1,1,1,1,9,1,36,9,2,10,7,1,2,1,2,4
1688,1,1,1,3,2,4,2,2,7,1,39,8,2,9,3,0,2,1,1,4
1691,1,2,2,3,2,4,1,1,10,1,44,9,4,9,2,1,2,0,2,4
1707,1,2,1,2,1,3,1,2,10,1,57,7,2,8,7,1,3,0, ,4
1716,2,2,1,3,3,4,1,2,8,1,48,9,2,10,7,1,2,1,2,4
1733,1,2,2,2,1,1,2,1,7,1,33,8,3,9,7,0,1,1,3,4
1760,1,1,1,2,2,3,2,2,8,2,53,9,,9,1,0,3,0,2,4
1769,1,1,1,3,2,1,2,1,9,,,,3,9,1,0, ,1,2,4
1802,1,2,1,2,1,,1,2,9,1,23,7,4,3,1,1,1,1,1,4
1804,1,2,1,3,2,1,1,1,9,1,30,9,,10,1,1,1,1,2,4
